,personid,quitjob,age,costofcommute,children,expgroup,men,married,perform10,perform11,perform10_expgroup,perform11_expgroup
232,43288,1.0,21.0,6.0,no,1,1.0,0.0,-1.0929021,-1.4649702,-1.0929021,-1.4649702
233,43500,0.0,27.0,10.0,yes,0,0.0,1.0,0.27930355,1.2993494,0.0,0.0
234,43524,1.0,24.0,10.0,no,0,1.0,0.0,-0.9642803,-0.95918447,0.0,0.0
235,43534,0.0,23.0,10.0,no,1,1.0,0.0,-0.6394618,-0.18527389,-0.6394618,-0.18527389
236,43570,0.0,18.0,12.0,no,0,1.0,0.0,-0.8791104,-0.93861705,0.0,0.0
237,43926,0.0,22.0,0.0,no,1,1.0,0.0,-0.6409058,-0.63847065,-0.6409058,-0.63847065
238,44256,1.0,21.0,0.0,no,0,0.0,0.0,-0.7687597,-0.8029287,0.0,0.0
239,44266,0.0,19.0,17.0,no,1,1.0,0.0,-1.1966077,-0.78258824,-1.1966077,-0.78258824
240,44282,0.0,20.0,12.0,no,0,0.0,0.0,-0.31786045,-0.30182248,0.0,0.0
241,44408,0.0,22.0,10.0,no,1,0.0,0.0,-0.3330288,0.3779311,-0.3330288,0.3779311
242,44782,0.0,23.0,0.0,no,1,1.0,0.0,-0.13177224,0.033910565,-0.13177224,0.033910565
243,44784,0.0,31.0,0.0,no,1,1.0,0.0,-0.7438176,-0.54033095,-0.7438176,-0.54033095
244,44794,1.0,23.0,10.0,no,0,1.0,0.0,-1.0718768,-1.8671106,0.0,0.0
245,44800,0.0,25.0,12.0,no,0,1.0,0.0,-0.3613501,-0.5427776,0.0,0.0
246,45238,0.0,22.0,4.0,no,1,1.0,0.0,-0.044172138,0.6801686,-0.044172138,0.6801686
247,45254,0.0,23.0,4.0,no,0,1.0,0.0,-1.1018978,-1.1610111,0.0,0.0
248,45442,0.0,22.0,0.0,no,0,1.0,0.0,-0.9931348,-1.0208093,0.0,0.0
